"home","away","score","attend","ref","season","start_datetime","start_date","start_time","home_score","away_score","home_tk","away_tk","outcome"
"Villa Lidköping BK","Bollnäs GIF","8 - 6","3021","Roland Fager","s1011","2010-10-27 19:00:00","2010-10-27","19:00:00","8","6","1","6","1"
"IK Sirius","Sandvikens AIK/BK","5 - 1","1759","Thomas Nordin","s1011","2010-10-27 19:00:00","2010-10-27","19:00:00","5","1","2","13","1"
"Västerås SK/BK","IF Boltic","9 - 3","1836","Ronny Andersson","s1011","2010-10-28 19:00:00","2010-10-28","19:00:00","9","3","3","11","1"
"Hammarby IF","Edsbyns IF","6 - 5","3511","Håkan Sjösten","s1011","2010-10-29 19:00:00","2010-10-29","19:00:00","6","5","4","8","1"
"IFK Kungälv","Broberg/Söderhamn","2 - 7","821","Mikael Karlsson (Grästorp)","s1011","2010-10-29 19:00:00","2010-10-29","19:00:00","2","7","5","12","2"
"Bollnäs GIF","IK Sirius","5 - 4","2312","Jonas Kandell","s1011","2010-10-29 20:00:00","2010-10-29","20:00:00","5","4","6","2","1"
"IFK Vänersborg","HaparandaTornio","4 - 5","2673","Peter Öhrlund","s1011","2010-10-30 17:00:00","2010-10-30","17:00:00","4","5","7","14","2"
"Edsbyns IF","Vetlanda BK","11 - 4","1690","Ronny Andersson","s1011","2010-10-31 17:00:00","2010-10-31","17:00:00","11","4","8","10","2"
"TB Västerås","IFK Vänersborg","5 - 5","639","Peter Öhrlund","s1011","2010-11-03 19:00:00","2010-11-03","19:00:00","5","5","9","7","x"
"Vetlanda BK","Villa Lidköping BK","4 - 2","646","Anders Kristiansson","s1011","2010-11-03 19:00:00","2010-11-03","19:00:00","4","2","10","1","1"
"IF Boltic","Hammarby IF","2 - 10","949","Jonas Kandell","s1011","2010-11-03 19:00:00","2010-11-03","19:00:00","2","10","11","4","1"
"Broberg/Söderhamn","IK Sirius","5 - 4","954","Roland Fager","s1011","2010-11-03 19:00:00","2010-11-03","19:00:00","5","4","12","2","1"
"Sandvikens AIK/BK","Västerås SK/BK","3 - 1","2012","Ulrik Bergman","s1011","2010-11-03 19:00:00","2010-11-03","19:00:00","3","1","13","3","1"
"Bollnäs GIF","IFK Kungälv","4 - 1","1417","Kent Lisell","s1011","2010-11-03 19:00:00","2010-11-03","19:00:00","4","1","6","5","1"
"Broberg/Söderhamn","Västerås SK/BK","4 - 3","990","Håkan Sjösten","s1011","2010-11-05 19:00:00","2010-11-05","19:00:00","4","3","12","3","1"
"HaparandaTornio","IFK Kungälv","3 - 4","1138","Ulrik Bergman","s1011","2010-11-05 19:00:00","2010-11-05","19:00:00","3","4","14","5","2"
"Villa Lidköping BK","IF Boltic","11 - 0","2910","Peter Öhrlund","s1011","2010-11-05 19:00:00","2010-11-05","19:00:00","11","0","1","11","1"
"Hammarby IF","TB Västerås","6 - 6","1822","Thomas Nordin","s1011","2010-11-06 14:00:00","2010-11-06","14:00:00","6","6","4","9","x"
"Sandvikens AIK/BK","IFK Vänersborg","7 - 1","1270","Kent Lisell","s1011","2010-11-06 16:00:00","2010-11-06","16:00:00","7","1","13","7","1"
"IF Boltic","Edsbyns IF","2 - 5","421","Mikael Karlsson (Grästorp)","s1011","2010-11-07 13:15:00","2010-11-07","13:15:00","2","5","11","8","2"
"Vetlanda BK","Bollnäs GIF","5 - 4","647","Max Johansson","s1011","2010-11-07 17:00:00","2010-11-07","17:00:00","5","4","10","6","1"
"TB Västerås","Broberg/Söderhamn","7 - 2","410","Henric Björkholm","s1011","2010-11-10 19:00:00","2010-11-10","19:00:00","7","2","9","12","1"
"IK Sirius","Hammarby IF","5 - 9","2024","Håkan Sjösten","s1011","2010-11-10 19:00:00","2010-11-10","19:00:00","5","9","2","4","2"
"Edsbyns IF","Sandvikens AIK/BK","5 - 11","1716","Roland Fager","s1011","2010-11-10 19:00:00","2010-11-10","19:00:00","5","11","8","13","1"
"HaparandaTornio","IF Boltic","5 - 6","735","Jonas Kandell","s1011","2010-11-10 19:15:00","2010-11-10","19:15:00","5","6","14","11","2"
"Broberg/Söderhamn","Vetlanda BK","3 - 3","806","Ulrik Bergman","s1011","2010-11-12 19:00:00","2010-11-12","19:00:00","3","3","12","10","x"
"Hammarby IF","Västerås SK/BK","2 - 5","2523","Ronny Andersson","s1011","2010-11-12 19:00:00","2010-11-12","19:00:00","2","5","4","3","2"
"IFK Vänersborg","IK Sirius","2 - 6","1124","Anders Kristiansson","s1011","2010-11-12 19:00:00","2010-11-12","19:00:00","2","6","7","2","2"
"Bollnäs GIF","HaparandaTornio","8 - 0","1607","Thomas Nordin","s1011","2010-11-12 20:00:00","2010-11-12","20:00:00","8","0","6","14","1"
"Edsbyns IF","Villa Lidköping BK","7 - 4","1242","Mikael Karlsson (Grästorp)","s1011","2010-11-13 16:00:00","2010-11-13","16:00:00","7","4","8","1","1"
"Västerås SK/BK","HaparandaTornio","9 - 3","914","Mikael Karlsson","s1011","2010-11-14 16:00:00","2010-11-14","16:00:00","9","3","3","14","1"
"IFK Kungälv","TB Västerås","7 - 0","669","Kent Lisell","s1011","2010-11-14 17:00:00","2010-11-14","17:00:00","7","0","5","9","1"
"IF Boltic","IFK Kungälv","4 - 8","588","Johan Anderzen","s1011","2010-11-17 19:00:00","2010-11-17","19:00:00","4","8","11","5","2"
"Sandvikens AIK/BK","Villa Lidköping BK","5 - 6","1911","Jonas Kandell","s1011","2010-11-17 19:00:00","2010-11-17","19:00:00","5","6","13","1","2"
"IK Sirius","Edsbyns IF","0 - 6","1610","Max Johansson","s1011","2010-11-17 19:00:00","2010-11-17","19:00:00","0","6","2","8","2"
"Broberg/Söderhamn","Hammarby IF","4 - 8","1057","Roland Fager","s1011","2010-11-17 19:00:00","2010-11-17","19:00:00","4","8","12","4","2"
"Västerås SK/BK","IFK Vänersborg","8 - 3","1016","Henric Björkholm","s1011","2010-11-17 19:00:00","2010-11-17","19:00:00","8","3","3","7","1"
"IFK Kungälv","Sandvikens AIK/BK","2 - 4","837","Peter Öhrlund","s1011","2010-11-19 19:00:00","2010-11-19","19:00:00","2","4","5","13","2"
"Villa Lidköping BK","IK Sirius","9 - 6","2880","Mikael Karlsson (Grästorp)","s1011","2010-11-19 19:00:00","2010-11-19","19:00:00","9","6","1","2","1"
"Vetlanda BK","TB Västerås","6 - 1","573","Roland Fager","s1011","2010-11-19 19:00:00","2010-11-19","19:00:00","6","1","10","9","1"
"Edsbyns IF","Västerås SK/BK","6 - 2","1753","Kent Lisell","s1011","2010-11-19 19:00:00","2010-11-19","19:00:00","6","2","8","3","1"
"IFK Vänersborg","Hammarby IF","0 - 3","1137","Ulrik Bergman","s1011","2010-11-19 19:00:00","2010-11-19","19:00:00","0","3","7","4","2"
"TB Västerås","Villa Lidköping BK","3 - 8","478","Håkan Sjösten","s1011","2010-11-21 15:00:00","2010-11-21","15:00:00","3","8","9","1","2"
"Bollnäs GIF","IF Boltic","13 - 6","1503","Anders Kristiansson","s1011","2010-11-21 17:00:00","2010-11-21","17:00:00","13","6","6","11","2"
"IK Sirius","IFK Kungälv","4 - 3","1050","Jonas Kandell","s1011","2010-11-22 19:00:00","2010-11-22","19:00:00","4","3","2","5","1"
"Västerås SK/BK","Villa Lidköping BK","9 - 7","1528","Roland Fager","s1011","2010-11-24 19:00:00","2010-11-24","19:00:00","9","7","3","1","1"
"IF Boltic","Vetlanda BK","5 - 6","398","Mikael Karlsson","s1011","2010-11-24 19:00:00","2010-11-24","19:00:00","5","6","11","10","2"
"HaparandaTornio","Broberg/Söderhamn","5 - 9","279","Ronny Andersson","s1011","2010-11-24 19:00:00","2010-11-24","19:00:00","5","9","14","12","2"
"Sandvikens AIK/BK","Bollnäs GIF","8 - 2","1750","Thomas Nordin","s1011","2010-11-24 19:00:00","2010-11-24","19:00:00","8","2","13","6","1"
"HaparandaTornio","IK Sirius","5 - 5","255","Kent Lisell","s1011","2010-11-26 19:00:00","2010-11-26","19:00:00","5","5","14","2","x"
"TB Västerås","Bollnäs GIF","6 - 7","306","Ronny Andersson","s1011","2010-11-26 19:00:00","2010-11-26","19:00:00","6","7","9","6","2"
"IFK Kungälv","Västerås SK/BK","3 - 2","751","Anders Kristiansson","s1011","2010-11-26 19:00:00","2010-11-26","19:00:00","3","2","5","3","1"
"IFK Vänersborg","Edsbyns IF","3 - 2","738","Håkan Sjösten","s1011","2010-11-26 20:00:00","2010-11-26","20:00:00","3","2","7","8","1"
"Hammarby IF","Vetlanda BK","5 - 5","1684","Peter Öhrlund","s1011","2010-11-27 14:00:00","2010-11-27","14:00:00","5","5","4","10","x"
"Sandvikens AIK/BK","IF Boltic","17 - 3","1369","Mikael Karlsson (Grästorp)","s1011","2010-11-27 16:00:00","2010-11-27","16:00:00","17","3","13","11","2"
"Broberg/Söderhamn","IFK Vänersborg","6 - 2","710","Jonas Kandell","s1011","2010-11-30 19:00:00","2010-11-30","19:00:00","6","2","12","7","1"
"Edsbyns IF","TB Västerås","5 - 4","1197","Ulrik Bergman","s1011","2010-11-30 19:00:00","2010-11-30","19:00:00","5","4","8","9","1"
"Vetlanda BK","Sandvikens AIK/BK","4 - 7","705","Mikael Karlsson (Grästorp)","s1011","2010-11-30 19:00:00","2010-11-30","19:00:00","4","7","10","13","2"
"Villa Lidköping BK","HaparandaTornio","7 - 4","2079","Anders Kristiansson","s1011","2010-11-30 19:00:00","2010-11-30","19:00:00","7","4","1","14","1"
"IF Boltic","TB Västerås","3 - 3","296","Peter Öhrlund","s1011","2010-12-08 19:00:00","2010-12-08","19:00:00","3","3","11","9","x"
"Edsbyns IF","Broberg/Söderhamn","2 - 4","1707","Jonas Kandell","s1011","2010-12-08 19:00:00","2010-12-08","19:00:00","2","4","8","12","2"
"HaparandaTornio","Sandvikens AIK/BK","2 - 10","553","Juha-Matti Kannianen","s1011","2010-12-08 19:00:00","2010-12-08","19:00:00","2","10","14","13","1"
"Hammarby IF","IFK Kungälv","8 - 0","1523","Ronny Andersson","s1011","2010-12-08 19:00:00","2010-12-08","19:00:00","8","0","4","5","1"
"Villa Lidköping BK","IFK Vänersborg","8 - 6","3081","Roland Fager","s1011","2010-12-08 19:00:00","2010-12-08","19:00:00","8","6","1","7","1"
"IK Sirius","Vetlanda BK","3 - 3","1010","Kent Lisell","s1011","2010-12-08 19:00:00","2010-12-08","19:00:00","3","3","2","10","x"
"Västerås SK/BK","Bollnäs GIF","4 - 5","1178","Mikael Karlsson (Grästorp)","s1011","2010-12-08 19:00:00","2010-12-08","19:00:00","4","5","3","6","2"
"IFK Kungälv","IFK Vänersborg","2 - 0","898","Max Johansson","s1011","2010-12-10 19:00:00","2010-12-10","19:00:00","2","0","5","7","1"
"Broberg/Söderhamn","Villa Lidköping BK","4 - 5","711","Håkan Sjösten","s1011","2010-12-10 19:00:00","2010-12-10","19:00:00","4","5","12","1","2"
"Vetlanda BK","Västerås SK/BK","4 - 4","560","Henric Björkholm","s1011","2010-12-10 19:00:00","2010-12-10","19:00:00","4","4","10","3","x"
"TB Västerås","HaparandaTornio","8 - 3","324","Ulrik Bergman","s1011","2010-12-10 19:00:00","2010-12-10","19:00:00","8","3","9","14","1"
"Bollnäs GIF","Hammarby IF","1 - 3","1513","Mikael Karlsson","s1011","2010-12-10 20:00:00","2010-12-10","20:00:00","1","3","6","4","2"
"HaparandaTornio","Edsbyns IF","3 - 3","278","Roland Fager","s1011","2010-12-12 15:00:00","2010-12-12","15:00:00","3","3","14","8","x"
"Sandvikens AIK/BK","TB Västerås","10 - 4","1303","Thomas Nordin","s1011","2010-12-12 17:00:00","2010-12-12","17:00:00","10","4","13","9","2"
"IK Sirius","TB Västerås","1 - 2","950","Johan Anderzen","s1011","2010-12-15 19:00:00","2010-12-15","19:00:00","1","2","2","9","2"
"Hammarby IF","Sandvikens AIK/BK","7 - 9","2886","Peter Öhrlund","s1011","2010-12-15 19:00:00","2010-12-15","19:00:00","7","9","4","13","2"
"IFK Vänersborg","IF Boltic","13 - 3","1115","Anders Kristiansson","s1011","2010-12-15 19:00:00","2010-12-15","19:00:00","13","3","7","11","2"
"IFK Kungälv","Vetlanda BK","5 - 3","604","Mikael Karlsson (Grästorp)","s1011","2010-12-15 19:00:00","2010-12-15","19:00:00","5","3","5","10","1"
"Bollnäs GIF","Broberg/Söderhamn","4 - 4","2622","Ulrik Bergman","s1011","2010-12-17 20:00:00","2010-12-17","20:00:00","4","4","6","12","x"
"Västerås SK/BK","IK Sirius","4 - 2","971","Ronny Andersson","s1011","2010-12-18 15:00:00","2010-12-18","15:00:00","4","2","3","2","1"
"Edsbyns IF","IFK Kungälv","5 - 2","1025","Anders Kristiansson","s1011","2010-12-18 16:00:00","2010-12-18","16:00:00","5","2","8","5","1"
"HaparandaTornio","Vetlanda BK","3 - 2","230","Peteri Kuusela","s1011","2010-12-19 13:15:00","2010-12-19","13:15:00","3","2","14","10","1"
"IFK Vänersborg","Bollnäs GIF","2 - 4","827","Johan Anderzen","s1011","2010-12-19 17:00:00","2010-12-19","17:00:00","2","4","7","6","2"
"IF Boltic","Broberg/Söderhamn","5 - 7","192","Kent Lisell","s1011","2010-12-19 17:00:00","2010-12-19","17:00:00","5","7","11","12","2"
"Villa Lidköping BK","Hammarby IF","8 - 3","3208","Jonas Kandell","s1011","2010-12-20 19:00:00","2010-12-20","19:00:00","8","3","1","4","1"
"Sandvikens AIK/BK","Vetlanda BK","8 - 6","1333","Max Johansson","s1011","2010-12-21 19:00:00","2010-12-21","19:00:00","8","6","13","10","1"
"Västerås SK/BK","IFK Kungälv","2 - 4","786","Håkan Sjösten","s1011","2010-12-22 19:00:00","2010-12-22","19:00:00","2","4","3","5","2"
"TB Västerås","Västerås SK/BK","2 - 4","5666","Roland Fager","s1011","2010-12-26 13:15:00","2010-12-26","13:15:00","2","4","9","3","2"
"IFK Kungälv","Villa Lidköping BK","3 - 4","2001","Peter Öhrlund","s1011","2010-12-26 13:15:00","2010-12-26","13:15:00","3","4","5","1","2"
"Vetlanda BK","IFK Vänersborg","3 - 2","1107","Jonas Kandell","s1011","2010-12-26 13:15:00","2010-12-26","13:15:00","3","2","10","7","1"
"Sandvikens AIK/BK","Broberg/Söderhamn","9 - 6","2622","Kent Lisell","s1011","2010-12-26 15:00:00","2010-12-26","15:00:00","9","6","13","12","1"
"HaparandaTornio","Hammarby IF","6 - 4","1077","Ronny Andersson","s1011","2010-12-26 17:00:00","2010-12-26","17:00:00","6","4","14","4","1"
"Edsbyns IF","IFK Vänersborg","4 - 3","1213","Thomas Nordin","s1011","2010-12-28 19:00:00","2010-12-28","19:00:00","4","3","8","7","1"
"IF Boltic","HaparandaTornio","5 - 7","459","Henric Björkholm","s1011","2010-12-28 19:00:00","2010-12-28","19:00:00","5","7","11","14","2"
"Hammarby IF","Villa Lidköping BK","3 - 0","3017","Ulrik Bergman","s1011","2010-12-28 19:00:00","2010-12-28","19:00:00","3","0","4","1","1"
"Broberg/Söderhamn","TB Västerås","7 - 3","1055","Ronny Andersson","s1011","2010-12-28 19:00:00","2010-12-28","19:00:00","7","3","12","9","1"
"Hammarby IF","Bollnäs GIF","2 - 1","2728","Mikael Karlsson (Grästorp)","s1011","2010-12-30 19:00:00","2010-12-30","19:00:00","2","1","4","6","1"
"Västerås SK/BK","Vetlanda BK","2 - 5","858","Johan Anderzen","s1011","2010-12-30 19:00:00","2010-12-30","19:00:00","2","5","3","10","2"
"Broberg/Söderhamn","IF Boltic","7 - 3","875","Jonas Kandell","s1011","2010-12-30 19:00:00","2010-12-30","19:00:00","7","3","12","11","1"
"IK Sirius","HaparandaTornio","7 - 3","1035","Peter Öhrlund","s1011","2010-12-30 19:00:00","2010-12-30","19:00:00","7","3","2","14","1"
"IFK Vänersborg","IFK Kungälv","5 - 3","1664","Anders Kristiansson","s1011","2010-12-30 19:00:00","2010-12-30","19:00:00","5","3","7","5","1"
"IF Boltic","Sandvikens AIK/BK","0 - 14","326","Ulrik Bergman","s1011","2011-01-02 13:15:00","2011-01-02","13:15:00","0","14","11","13","2"
"HaparandaTornio","Västerås SK/BK","1 - 0","470","Håkan Sjösten","s1011","2011-01-02 14:30:00","2011-01-02","14:30:00","1","0","14","3","1"
"TB Västerås","IK Sirius","3 - 1","494","Peter Öhrlund","s1011","2011-01-02 15:00:00","2011-01-02","15:00:00","3","1","9","2","1"
"Vetlanda BK","Hammarby IF","5 - 8","1118","Roland Fager","s1011","2011-01-02 17:00:00","2011-01-02","17:00:00","5","8","10","4","2"
"IFK Kungälv","Edsbyns IF","1 - 5","817","Henric Björkholm","s1011","2011-01-02 17:00:00","2011-01-02","17:00:00","1","5","5","8","2"
"Villa Lidköping BK","Broberg/Söderhamn","5 - 3","3024","Mikael Karlsson (Grästorp)","s1011","2011-01-02 17:00:00","2011-01-02","17:00:00","5","3","1","12","1"
"Bollnäs GIF","IFK Vänersborg","9 - 3","1315","Kent Lisell","s1011","2011-01-02 17:00:00","2011-01-02","17:00:00","9","3","6","7","1"
"Bollnäs GIF","Edsbyns IF","1 - 3","3217","Håkan Sjösten","s1011","2011-01-04 19:00:00","2011-01-04","19:00:00","1","3","6","8","2"
"IK Sirius","IF Boltic","6 - 2","1017","Ronny Andersson","s1011","2011-01-06 13:15:00","2011-01-06","13:15:00","6","2","2","11","1"
"Västerås SK/BK","TB Västerås","7 - 6","3044","Ulrik Bergman","s1011","2011-01-06 13:15:00","2011-01-06","13:15:00","7","6","3","9","1"
"Edsbyns IF","Bollnäs GIF","4 - 6","1524","Peter Öhrlund","s1011","2011-01-06 15:45:00","2011-01-06","15:45:00","4","6","8","6","2"
"Villa Lidköping BK","IFK Kungälv","6 - 5","2330","Jonas Kandell","s1011","2011-01-06 16:00:00","2011-01-06","16:00:00","6","5","1","5","1"
"IFK Vänersborg","Vetlanda BK","4 - 6","1334","Anders Kristiansson","s1011","2011-01-06 17:00:00","2011-01-06","17:00:00","4","6","7","10","2"
"Hammarby IF","HaparandaTornio","8 - 4","1848","Roland Fager","s1011","2011-01-06 17:00:00","2011-01-06","17:00:00","8","4","4","14","1"
"Broberg/Söderhamn","Sandvikens AIK/BK","2 - 5","885","Håkan Sjösten","s1011","2011-01-06 18:00:00","2011-01-06","18:00:00","2","5","12","13","2"
"Sandvikens AIK/BK","HaparandaTornio","14 - 4","1279","Mikael Karlsson (Grästorp)","s1011","2011-01-08 15:00:00","2011-01-08","15:00:00","14","4","13","14","2"
"Vetlanda BK","IK Sirius","3 - 3","710","Peter Öhrlund","s1011","2011-01-09 13:15:00","2011-01-09","13:15:00","3","3","10","2","x"
"TB Västerås","IF Boltic","16 - 3","387","Ronny Andersson","s1011","2011-01-09 15:00:00","2011-01-09","15:00:00","16","3","9","11","2"
"IFK Kungälv","Hammarby IF","7 - 4","677","Mikael Karlsson","s1011","2011-01-09 15:45:00","2011-01-09","15:45:00","7","4","5","4","1"
"Bollnäs GIF","Västerås SK/BK","7 - 2","1607","Roland Fager","s1011","2011-01-09 17:00:00","2011-01-09","17:00:00","7","2","6","3","1"
"Broberg/Söderhamn","Edsbyns IF","6 - 4","1110","Jonas Kandell","s1011","2011-01-09 17:00:00","2011-01-09","17:00:00","6","4","12","8","1"
"IFK Vänersborg","Villa Lidköping BK","5 - 2","2023","Ulrik Bergman","s1011","2011-01-10 19:00:00","2011-01-10","19:00:00","5","2","7","1","1"
"Bollnäs GIF","Sandvikens AIK/BK","10 - 3","1743","Jonas Kandell","s1011","2011-01-12 19:00:00","2011-01-12","19:00:00","10","3","6","13","2"
"Hammarby IF","IFK Vänersborg","4 - 4","3053","Max Johansson","s1011","2011-01-12 19:00:00","2011-01-12","19:00:00","4","4","4","7","x"
"Vetlanda BK","IF Boltic","12 - 1","530","Kent Lisell","s1011","2011-01-12 19:00:00","2011-01-12","19:00:00","12","1","10","11","1"
"HaparandaTornio","TB Västerås","3 - 3","622","Peteri Kuusela","s1011","2011-01-12 19:00:00","2011-01-12","19:00:00","3","3","14","9","x"
"Villa Lidköping BK","Västerås SK/BK","5 - 5","2580","Håkan Sjösten","s1011","2011-01-12 19:00:00","2011-01-12","19:00:00","5","5","1","3","x"
"IFK Kungälv","IK Sirius","4 - 4","768","Johan Anderzen","s1011","2011-01-12 19:00:00","2011-01-12","19:00:00","4","4","5","2","x"
"IFK Vänersborg","Broberg/Söderhamn","5 - 3","1511","Henric Björkholm","s1011","2011-01-14 19:00:00","2011-01-14","19:00:00","5","3","7","12","1"
"Edsbyns IF","Hammarby IF","6 - 1","1634","Ulrik Bergman","s1011","2011-01-14 19:00:00","2011-01-14","19:00:00","6","1","8","4","1"
"TB Västerås","Vetlanda BK","9 - 6","376","Mikael Karlsson (Grästorp)","s1011","2011-01-15 15:00:00","2011-01-15","15:00:00","9","6","9","10","1"
"IK Sirius","Villa Lidköping BK","5 - 4","1256","Jonas Kandell","s1011","2011-01-15 16:00:00","2011-01-15","16:00:00","5","4","2","1","1"
"Sandvikens AIK/BK","IFK Kungälv","6 - 2","1103","Peter Öhrlund","s1011","2011-01-15 16:00:00","2011-01-15","16:00:00","6","2","13","5","1"
"IF Boltic","Bollnäs GIF","4 - 6","213","Anders Kristiansson","s1011","2011-01-16 13:15:00","2011-01-16","13:15:00","4","6","11","6","2"
"Västerås SK/BK","Edsbyns IF","6 - 4","912","Kent Lisell","s1011","2011-01-16 15:45:00","2011-01-16","15:45:00","6","4","3","8","1"
"IFK Vänersborg","Västerås SK/BK","5 - 5","1592","Peter Öhrlund","s1011","2011-01-18 19:00:00","2011-01-18","19:00:00","5","5","7","3","x"
"Hammarby IF","Broberg/Söderhamn","6 - 7","2580","Roland Fager","s1011","2011-01-18 19:00:00","2011-01-18","19:00:00","6","7","4","12","2"
"Edsbyns IF","IK Sirius","7 - 3","1301","Max Johansson","s1011","2011-01-18 19:00:00","2011-01-18","19:00:00","7","3","8","2","1"
"Bollnäs GIF","TB Västerås","5 - 5","1717","Kent Lisell","s1011","2011-01-18 19:00:00","2011-01-18","19:00:00","5","5","6","9","x"
"Villa Lidköping BK","Sandvikens AIK/BK","5 - 11","4053","Jonas Kandell","s1011","2011-01-18 19:00:00","2011-01-18","19:00:00","5","11","1","13","1"
"IK Sirius","IFK Vänersborg","7 - 0","1118","Thomas Nordin","s1011","2011-02-01 19:00:00","2011-02-01","19:00:00","7","0","2","7","1"
"Sandvikens AIK/BK","Edsbyns IF","9 - 4","2489","Håkan Sjösten","s1011","2011-02-02 19:00:00","2011-02-02","19:00:00","9","4","13","8","1"
"IF Boltic","Villa Lidköping BK","1 - 10","316","Ulrik Bergman","s1011","2011-02-02 19:00:00","2011-02-02","19:00:00","1","10","11","1","2"
"TB Västerås","IFK Kungälv","4 - 6","636","Roland Fager","s1011","2011-02-02 19:00:00","2011-02-02","19:00:00","4","6","9","5","2"
"HaparandaTornio","Bollnäs GIF","0 - 4","562","Ronny Andersson","s1011","2011-02-02 19:00:00","2011-02-02","19:00:00","0","4","14","6","2"
"Vetlanda BK","Broberg/Söderhamn","5 - 8","516","Johan Anderzen","s1011","2011-02-02 19:00:00","2011-02-02","19:00:00","5","8","10","12","2"
